Source,Type,Target,Weight
Молодой рабочий,Undirected,Старушка-докладчица,1
Молчащие сестры,Undirected,Морозный тятька,1
Молчащие сестры,Undirected,Некий глас,1
Молчащие сестры,Undirected,Немини,1
Молчащие сестры,Undirected,Няня-леший,1
Молчащие сестры,Undirected,Рында,1
Молчащие сестры,Undirected,Сказчич-Морочич,1
Молчащие сестры,Undirected,Слепини,1
Молчащие сестры,Undirected,Смехини,1
Молчащие сестры,Undirected,Снегомужье,1
Молчащие сестры,Undirected,Снегун,1
Молчащие сестры,Undirected,Снегчие,1
Молчащие сестры,Undirected,Снежак,1
Молчащие сестры,Undirected,Снежачиха,1
Молчащие сестры,Undirected,Снежные мамки,1
Молчащие сестры,Undirected,Снезини,1
Молчащие сестры,Undirected,Старушка-докладчица,1
Морозный тятька,Undirected,Некий глас,1
Морозный тятька,Undirected,Немини,1
Морозный тятька,Undirected,Няня-леший,1
Морозный тятька,Undirected,Рында,1
Морозный тятька,Undirected,Сказчич-Морочич,1
Морозный тятька,Undirected,Слепини,1
Морозный тятька,Undirected,Смехини,1
Морозный тятька,Undirected,Снегомужье,1
Морозный тятька,Undirected,Снегун,1
Морозный тятька,Undirected,Снегчие,1
Морозный тятька,Undirected,Снежак,1
Морозный тятька,Undirected,Снежачиха,1
Морозный тятька,Undirected,Снежные мамки,1
Морозный тятька,Undirected,Снезини,1
Морозный тятька,Undirected,Старушка-докладчица,1
Некий глас,Undirected,Немини,1
Некий глас,Undirected,Няня-леший,1
Некий глас,Undirected,Рында,1
Некий глас,Undirected,Сказчич-Морочич,1
Некий глас,Undirected,Слепини,1
Некий глас,Undirected,Смехини,1
Некий глас,Undirected,Снегомужье,1
Некий глас,Undirected,Снегун,1
Некий глас,Undirected,Снегчие,1
Некий глас,Undirected,Снежак,1
Некий глас,Undirected,Снежачиха,1
Некий глас,Undirected,Снежные мамки,1
Некий глас,Undirected,Снезини,1
Некий глас,Undirected,Старушка-докладчица,1
Некто,Undirected,Нищий,1
Некто,Undirected,Отставший спутник,1
